"","RunName","win60s","c"
"409","A_M1004YM02_2S3RNA",5,102
"410","A_M1004YM02_2S3RNA",6,102
"411","A_M1004YM02_2S3RNA",7,103
"412","A_M1004YM02_2S3RNA",8,103
"413","A_M1004YM02_2S3RNA",9,104
"414","A_M1004YM02_2S3RNA",10,106
"415","A_M1004YM02_2S3RNA",11,106
"416","A_M1004YM02_2S3RNA",12,202
"417","A_M1004YM02_2S3RNA",13,203
"418","A_M1004YM02_2S3RNA",14,203
"419","A_M1004YM02_2S3RNA",15,203
"420","A_M1004YM02_2S3RNA",16,203
"421","A_M1004YM02_2S3RNA",17,204
"422","A_M1004YM02_2S3RNA",18,205
"423","A_M1004YM02_2S3RNA",19,205
"424","A_M1004YM02_2S3RNA",20,205
"425","A_M1004YM02_2S3RNA",21,301
"426","A_M1004YM02_2S3RNA",22,304
"427","A_M1004YM02_2S3RNA",23,304
"428","A_M1004YM02_2S3RNA",24,304
"429","A_M1004YM02_2S3RNA",25,304
"430","A_M1004YM02_2S3RNA",26,306
"431","A_M1004YM02_2S3RNA",27,306
"432","A_M1004YM02_2S3RNA",28,306
"433","A_M1004YM02_2S3RNA",29,307
"434","A_M1004YM02_2S3RNA",30,311
"435","A_M1004YM02_2S3RNA",31,311
"436","A_M1004YM02_2S3RNA",32,311
"437","A_M1004YM02_2S3RNA",33,311
"438","A_M1004YM02_2S3RNA",34,311
"439","A_M1004YM02_2S3RNA",35,311
"440","A_M1004YM02_2S3RNA",36,311
"441","A_M1004YM02_2S3RNA",37,311
"442","A_M1004YM02_2S3RNA",38,311
"443","A_M1004YM02_2S3RNA",39,311
"444","A_M1004YM02_2S3RNA",40,311
"445","A_M1004YM02_3S1RNA",1,102
"446","A_M1004YM02_3S1RNA",2,102
"447","A_M1004YM02_3S1RNA",3,103
"448","A_M1004YM02_3S1RNA",4,103
"449","A_M1004YM02_3S1RNA",5,104
"450","A_M1004YM02_3S1RNA",6,105
"451","A_M1004YM02_3S1RNA",7,106
"452","A_M1004YM02_3S1RNA",8,106
"453","A_M1004YM02_3S1RNA",9,201
"454","A_M1004YM02_3S1RNA",10,203
"455","A_M1004YM02_3S1RNA",11,203
"456","A_M1004YM02_3S1RNA",12,203
"457","A_M1004YM02_3S1RNA",13,203
"458","A_M1004YM02_3S1RNA",14,205
"459","A_M1004YM02_3S1RNA",15,205
"460","A_M1004YM02_3S1RNA",16,205
"461","A_M1004YM02_3S1RNA",17,206
"462","A_M1004YM02_3S1RNA",18,302
"463","A_M1004YM02_3S1RNA",19,304
"464","A_M1004YM02_3S1RNA",20,304
"465","A_M1004YM02_3S1RNA",21,304
"466","A_M1004YM02_3S1RNA",22,305
"467","A_M1004YM02_3S1RNA",23,306
"468","A_M1004YM02_3S1RNA",24,306
"469","A_M1004YM02_3S1RNA",25,308
"470","A_M1004YM02_3S1RNA",26,308
"471","A_M1004YM02_3S1RNA",27,311
"472","A_M1004YM02_3S1RNA",28,311
"473","A_M1004YM02_3S1RNA",29,311
"474","A_M1004YM02_3S1RNA",30,311
"475","A_M1004YM02_3S1RNA",31,311
"476","A_M1004YM02_3S1RNA",32,311
"477","A_M1004YM02_3S1RNA",33,311
"478","A_M1004YM02_3S1RNA",34,311
"479","A_M1004YM02_3S1RNA",35,311
"480","A_M1004YM02_3S1RNA",36,311
"481","A_M1004YM02_3S1RNA",37,311
"482","A_M1005YM03_1S3RNA",1,111
"483","A_M1005YM03_1S3RNA",2,111
"484","A_M1005YM03_1S3RNA",3,105
"485","A_M1005YM03_1S3RNA",4,102
"486","A_M1005YM03_1S3RNA",5,102
"487","A_M1005YM03_1S3RNA",6,103
"488","A_M1005YM03_1S3RNA",7,103
"489","A_M1005YM03_1S3RNA",8,106
"490","A_M1005YM03_1S3RNA",9,106
"491","A_M1005YM03_1S3RNA",10,201
"492","A_M1005YM03_1S3RNA",11,203
"493","A_M1005YM03_1S3RNA",12,203
"494","A_M1005YM03_1S3RNA",13,203
"495","A_M1005YM03_1S3RNA",14,203
"496","A_M1005YM03_1S3RNA",15,205
"497","A_M1005YM03_1S3RNA",16,205
"498","A_M1005YM03_1S3RNA",17,205
"499","A_M1005YM03_1S3RNA",18,206
"500","A_M1005YM03_1S3RNA",19,301
"501","A_M1005YM03_1S3RNA",20,304
"502","A_M1005YM03_1S3RNA",21,304
"503","A_M1005YM03_1S3RNA",22,304
"504","A_M1005YM03_1S3RNA",23,304
"505","A_M1005YM03_1S3RNA",24,306
"506","A_M1005YM03_1S3RNA",25,306
"507","A_M1005YM03_1S3RNA",26,306
"508","A_M1005YM03_1S3RNA",27,307
"509","A_M1005YM03_1S3RNA",28,311
"510","A_M1005YM03_1S3RNA",29,311
"511","A_M1005YM03_1S3RNA",30,311
"512","A_M1005YM03_1S3RNA",31,311
"513","A_M1005YM03_1S3RNA",32,311
"514","A_M1005YM03_1S3RNA",33,311
"515","A_M1005YM03_1S3RNA",34,311
"516","A_M1005YM03_1S3RNA",35,311
"517","A_M1005YM03_1S3RNA",36,311
"518","A_M1005YM03_1S3RNA",37,311
"519","A_M1005YM03_1S3RNA",38,311
"520","A_M1005YM03_2S2RNA",1,111
"521","A_M1005YM03_2S2RNA",2,111
"522","A_M1005YM03_2S2RNA",3,111
"523","A_M1005YM03_2S2RNA",4,102
"524","A_M1005YM03_2S2RNA",5,102
"525","A_M1005YM03_2S2RNA",6,105
"526","A_M1005YM03_2S2RNA",7,105
"527","A_M1005YM03_2S2RNA",8,106
"528","A_M1005YM03_2S2RNA",9,106
"529","A_M1005YM03_2S2RNA",10,202
"530","A_M1005YM03_2S2RNA",11,203
"531","A_M1005YM03_2S2RNA",12,203
"532","A_M1005YM03_2S2RNA",13,203
"533","A_M1005YM03_2S2RNA",14,203
"534","A_M1005YM03_2S2RNA",15,205
"535","A_M1005YM03_2S2RNA",16,205
"536","A_M1005YM03_2S2RNA",17,205
"537","A_M1005YM03_2S2RNA",18,206
"538","A_M1005YM03_2S2RNA",19,302
"539","A_M1005YM03_2S2RNA",20,304
"540","A_M1005YM03_2S2RNA",21,304
"541","A_M1005YM03_2S2RNA",22,304
"542","A_M1005YM03_2S2RNA",23,305
"543","A_M1005YM03_2S2RNA",24,306
"544","A_M1005YM03_2S2RNA",25,306
"545","A_M1005YM03_2S2RNA",26,306
"546","A_M1005YM03_2S2RNA",27,308
"547","A_M1005YM03_2S2RNA",28,308
"548","A_M1005YM03_2S2RNA",29,311
"549","A_M1005YM03_2S2RNA",30,311
