,RunName,win60s,drowsy,new,c,0,1
151,A_M1002YM01_3S3RNA,6,False,6A_M1002YM01_3S3RNA,102.0,0.99999964,3.3598965e-07
152,A_M1002YM01_3S3RNA,7,False,7A_M1002YM01_3S3RNA,102.0,0.9999999,1.7870404e-07
153,A_M1002YM01_3S3RNA,8,False,8A_M1002YM01_3S3RNA,103.0,0.7216074,0.2783926
154,A_M1002YM01_3S3RNA,9,False,9A_M1002YM01_3S3RNA,103.0,0.999668,0.00033204033
155,A_M1002YM01_3S3RNA,10,False,10A_M1002YM01_3S3RNA,106.0,0.9977291,0.002270851
156,A_M1002YM01_3S3RNA,11,False,11A_M1002YM01_3S3RNA,106.0,0.9999993,7.105874e-07
157,A_M1002YM01_3S3RNA,12,False,12A_M1002YM01_3S3RNA,106.0,0.99984276,0.00015725369
158,A_M1002YM01_3S3RNA,13,False,13A_M1002YM01_3S3RNA,202.0,0.9999802,1.9813782e-05
159,A_M1002YM01_3S3RNA,14,False,14A_M1002YM01_3S3RNA,203.0,0.6787059,0.32129413
160,A_M1002YM01_3S3RNA,15,False,15A_M1002YM01_3S3RNA,203.0,0.9778357,0.022164358
161,A_M1002YM01_3S3RNA,16,False,16A_M1002YM01_3S3RNA,203.0,0.42886084,0.5711391
162,A_M1002YM01_3S3RNA,17,False,17A_M1002YM01_3S3RNA,203.0,0.99582916,0.0041708564
163,A_M1002YM01_3S3RNA,18,False,18A_M1002YM01_3S3RNA,205.0,0.99984205,0.0001578731
164,A_M1002YM01_3S3RNA,19,False,19A_M1002YM01_3S3RNA,205.0,0.9979619,0.0020381897
165,A_M1002YM01_3S3RNA,20,False,20A_M1002YM01_3S3RNA,205.0,0.39688873,0.60311127
166,A_M1002YM01_3S3RNA,21,False,21A_M1002YM01_3S3RNA,205.0,0.99328095,0.0067190356
167,A_M1002YM01_3S3RNA,22,False,22A_M1002YM01_3S3RNA,301.0,0.9999944,5.6072854e-06
168,A_M1002YM01_3S3RNA,23,False,23A_M1002YM01_3S3RNA,304.0,0.9999944,5.581202e-06
169,A_M1002YM01_3S3RNA,24,False,24A_M1002YM01_3S3RNA,304.0,0.7348611,0.26513898
170,A_M1002YM01_3S3RNA,25,False,25A_M1002YM01_3S3RNA,304.0,0.99973124,0.00026879148
171,A_M1002YM01_3S3RNA,26,False,26A_M1002YM01_3S3RNA,304.0,0.9897362,0.010263849
172,A_M1002YM01_3S3RNA,27,False,27A_M1002YM01_3S3RNA,305.0,0.8695098,0.13049017
173,A_M1002YM01_3S3RNA,28,False,28A_M1002YM01_3S3RNA,306.0,0.9450088,0.054991186
174,A_M1002YM01_3S3RNA,29,False,29A_M1002YM01_3S3RNA,306.0,0.92221236,0.077787556
175,A_M1002YM01_3S3RNA,30,False,30A_M1002YM01_3S3RNA,307.0,0.9999472,5.2821404e-05
176,A_M1003YM02_1S2RNA,1,False,1A_M1003YM02_1S2RNA,111.0,0.9998528,0.00014718442
177,A_M1003YM02_1S2RNA,2,False,2A_M1003YM02_1S2RNA,111.0,0.87947875,0.12052124
178,A_M1003YM02_1S2RNA,3,False,3A_M1003YM02_1S2RNA,111.0,0.20032641,0.7996736
179,A_M1003YM02_1S2RNA,4,False,4A_M1003YM02_1S2RNA,103.0,0.48210198,0.51789796
180,A_M1003YM02_1S2RNA,5,False,5A_M1003YM02_1S2RNA,102.0,0.29263097,0.70736897
181,A_M1003YM02_1S2RNA,6,False,6A_M1003YM02_1S2RNA,105.0,0.99999976,2.8315142e-07
182,A_M1003YM02_1S2RNA,7,False,7A_M1003YM02_1S2RNA,105.0,0.99997294,2.7067184e-05
183,A_M1003YM02_1S2RNA,8,False,8A_M1003YM02_1S2RNA,104.0,0.9962166,0.0037834498
184,A_M1003YM02_1S2RNA,9,False,9A_M1003YM02_1S2RNA,106.0,0.8509635,0.14903653
